n4616	Q9UKC9
n4595	Q04437
n341492	Q86X94
n5574	P42669
n284699	Q49AS9
n344930	Q01844
n384212	Q05C33
n344638	B7ZL34
n178162	P35637
n342852	Q9HCJ0
n385405	Q4VA08
n4881	Q61080
n383211	Q9UPQ9
n5847	Q00899
n340604	Q9HCJ0
n273955	O00425
n375266	G5EGR6
n1315	P26599
n423775	Q15717
n266910	I6L9I7
n367182	P84104
n337950	P09132
n346329	P84104
n371301	Q9HCE1
n387306	Q86X94
n369487	Q9NY12
n346051	Q9H9G7
n272135	Q8VE97
n281010	Q4VA08
n383521	P26599
n4875	P0A6X3
n382083	Q9Y6M1
n385405	P31483
n372953	Q05C33
n417339	Q9NY12
n339188	Q4VA08
n376504	P0A7Y8
n4879	P49955
n5563	O95777
n277159	P35637
n340966	P31483
n4483	Q9Y6M1
n340522	O43251
n336975	P05455
n4864	Q01844
n285138	P42184
n405453	Q49AS9
n293847	Q8VE97
n328167	O43251
n337699	P61965
n339390	P31483
n339984	P0ACF4
n327941	P09661
n5330	P19735
n342313	Q9HCK5
n342358	P38996
n339384	Q01844
n383191	Q9H9G7
n4988	Q80U70
n268566	Q9BXP5
n340980	B7ZL34
n5315	Q00723
n1579	Q9Y6Y0
n414322	Q4VA08
n387063	B7ZL34
n341012	Q07955
n340258	Q07955
n283671	Q4VA08
n377651	P31483
n341574	Q05C33
n271812	Q9UKV8
n345686	P35637
n379717	P84104
n329	P08621
n378517	P84104
n382989	P11531
n412091	Q07807
n341460	Q9NY12
n295452	P84104
n268973	Q9UL18
n274579	Q07955
n338249	Q15717
n387476	Q9H9G7
n286171	P26599
n267062	Q8VE97
n375603	Q05C33
n376403	Q07955
n343030	Q8VE97
n407936	G5EGR6
n4637	Q99181
n342574	Q07955
n342150	P35637
n284046	O95793
n343060	B7ZL34
n346094	Q9UL18
n382930	P19474
n5821	P11632
n384200	Q9UL18
n325653	Q4VA08
n407569	Q01844
n267422	O88974
n326	Q61188
n379095	Q01844
n342414	I6L9I7
n369419	O00425
n410131	P26599
n282494	Q07955
n337770	P62315
n342202	Q8VE97
n375270	P01344
n341568	Q49AS9
